Input	Output
turn left twice and txpe opposite right twice	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_TXPE I_TURN_RIGHT I_TURN_RIGHT I_TXPE
qlcv right twice after qlcv	I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV
turn around right twice and zhkg left twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_ZHKG I_TURN_LEFT I_ZHKG
garz twice after turn opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_GARZ I_GARZ
mxay opposite left thrice and turn opposite right thrice	I_TURN_LEFT I_TURN_LEFT I_MXAY I_TURN_LEFT I_TURN_LEFT I_MXAY I_TURN_LEFT I_TURN_LEFT I_MXAY I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
mxay opposite right twice after vzoe around left twice	I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_RIGHT I_TURN_RIGHT I_MXAY I_TURN_RIGHT I_TURN_RIGHT I_MXAY
kvur after gmha opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_GMHA I_TURN_RIGHT I_TURN_RIGHT I_GMHA I_TURN_RIGHT I_TURN_RIGHT I_GMHA I_KVUR
mgai around right thrice and mgai around left	I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI
turn around right after hklu opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_HKLU I_TURN_RIGHT I_TURN_RIGHT I_HKLU I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
zwjm around right thrice after pvrq around right	I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM
oymp around left thrice after turn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP
xlie opposite left twice and turn opposite right thrice	I_TURN_LEFT I_TURN_LEFT I_XLIE I_TURN_LEFT I_TURN_LEFT I_XLIE I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
zhkg left thrice after nawm opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_NAWM I_TURN_RIGHT I_TURN_RIGHT I_NAWM I_TURN_LEFT I_ZHKG I_TURN_LEFT I_ZHKG I_TURN_LEFT I_ZHKG
hklu opposite left and hklu left	I_TURN_LEFT I_TURN_LEFT I_HKLU I_TURN_LEFT I_HKLU
eegp opposite left twice after turn opposite left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_EEGP I_TURN_LEFT I_TURN_LEFT I_EEGP
turn opposite left after pvrq opposite left	I_TURN_LEFT I_TURN_LEFT I_PVRQ I_TURN_LEFT I_TURN_LEFT
jcda opposite left twice and jcda opposite left twice	I_TURN_LEFT I_TURN_LEFT I_JCDA I_TURN_LEFT I_TURN_LEFT I_JCDA I_TURN_LEFT I_TURN_LEFT I_JCDA I_TURN_LEFT I_TURN_LEFT I_JCDA
iasi left and turn around left	I_TURN_LEFT I_IASI I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn right thrice and zwjm around right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM
dlmc opposite right twice after dlmc around left twice	I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_RIGHT I_TURN_RIGHT I_DLMC I_TURN_RIGHT I_TURN_RIGHT I_DLMC
tftq around left after qlcv around right twice	I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ I_TURN_LEFT I_TFTQ
fkes after turn around right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_FKES
eegp around left and turn opposite left	I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_EEGP I_TURN_LEFT I_TURN_LEFT
turn left twice and hfro twice	I_TURN_LEFT I_TURN_LEFT I_HFRO I_HFRO
vlbo twice after vlbo opposite left	I_TURN_LEFT I_TURN_LEFT I_VLBO I_VLBO I_VLBO
vgha twice and equr opposite left thrice	I_VGHA I_VGHA I_TURN_LEFT I_TURN_LEFT I_EQUR I_TURN_LEFT I_TURN_LEFT I_EQUR I_TURN_LEFT I_TURN_LEFT I_EQUR
pvrq left after pvrq around left thrice	I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ
iasi right thrice and iasi opposite right	I_TURN_RIGHT I_IASI I_TURN_RIGHT I_IASI I_TURN_RIGHT I_IASI I_TURN_RIGHT I_TURN_RIGHT I_IASI
imql left twice and turn around left twice	I_TURN_LEFT I_IMQL I_TURN_LEFT I_IMQL I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
pzur right twice after jpxb opposite left	I_TURN_LEFT I_TURN_LEFT I_JPXB I_TURN_RIGHT I_PZUR I_TURN_RIGHT I_PZUR
oymp right twice and turn left	I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_LEFT
asmf around left twice after turn around right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF
gyjs opposite left thrice after gyjs opposite left twice	I_TURN_LEFT I_TURN_LEFT I_GYJS I_TURN_LEFT I_TURN_LEFT I_GYJS I_TURN_LEFT I_TURN_LEFT I_GYJS I_TURN_LEFT I_TURN_LEFT I_GYJS I_TURN_LEFT I_TURN_LEFT I_GYJS
asap around right twice and turn around right thrice	I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_ASAP I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
garz opposite right twice and turn around left	I_TURN_RIGHT I_TURN_RIGHT I_GARZ I_TURN_RIGHT I_TURN_RIGHT I_GARZ I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn opposite left twice after fkes opposite left	I_TURN_LEFT I_TURN_LEFT I_FKES I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
kbcp right after uzoh opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_UZOH I_TURN_LEFT I_TURN_LEFT I_UZOH I_TURN_LEFT I_TURN_LEFT I_UZOH I_TURN_RIGHT I_KBCP
iugo twice and turn opposite left thrice	I_IUGO I_IUGO I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
odpa opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_ODPA I_TURN_RIGHT I_TURN_RIGHT I_ODPA
asap left twice after turn around right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP
volb opposite left after turn opposite left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_VOLB
wdqg around left after qnsr thrice	I_QNSR I_QNSR I_QNSR I_TURN_LEFT I_WDQG I_TURN_LEFT I_WDQG I_TURN_LEFT I_WDQG I_TURN_LEFT I_WDQG
odpa around left thrice and odpa opposite right	I_TURN_LEFT I_ODPA I_TURN_LEFT I_ODPA I_TURN_LEFT I_ODPA I_TURN_LEFT I_ODPA I_TURN_LEFT I_ODPA I_TURN_LEFT I_ODPA I_TURN_LEFT I_ODPA I_TURN_LEFT I_ODPA I_TURN_LEFT I_ODPA I_TURN_LEFT I_ODPA I_TURN_LEFT I_ODPA I_TURN_LEFT I_ODPA I_TURN_RIGHT I_TURN_RIGHT I_ODPA
fkes right and aowu around left twice	I_TURN_RIGHT I_FKES I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU I_TURN_LEFT I_AOWU
walk opposite right thrice and walk around left	I_TURN_RIGHT I_TURN_RIGHT I_WALK I_TURN_RIGHT I_TURN_RIGHT I_WALK I_TURN_RIGHT I_TURN_RIGHT I_WALK I_TURN_LEFT I_WALK I_TURN_LEFT I_WALK I_TURN_LEFT I_WALK I_TURN_LEFT I_WALK
hklu and turn opposite left twice	I_HKLU I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
fdjx twice and turn opposite left twice	I_FDJX I_FDJX I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
vzoe around right twice after vzoe around left thrice	I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_LEFT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE
turn opposite right thrice and turn right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
boch left thrice after turn opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_BOCH I_TURN_LEFT I_BOCH I_TURN_LEFT I_BOCH
icho around left twice after ybgz right	I_TURN_RIGHT I_YBGZ I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO
dxpw left thrice after qlcv twice	I_QLCV I_QLCV I_TURN_LEFT I_DXPW I_TURN_LEFT I_DXPW I_TURN_LEFT I_DXPW
xkhp around right after qqiu around left	I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_RIGHT I_XKHP I_TURN_RIGHT I_XKHP I_TURN_RIGHT I_XKHP I_TURN_RIGHT I_XKHP
pvrq after pvrq twice	I_PVRQ I_PVRQ I_PVRQ
dlmc opposite left and turn left thrice	I_TURN_LEFT I_TURN_LEFT I_DLMC I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
dpnk after turn around right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_DPNK
xrym right and xrym thrice	I_TURN_RIGHT I_XRYM I_XRYM I_XRYM I_XRYM
lwmo left twice and turn around left	I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn opposite left and qqiu opposite left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_QQIU I_TURN_LEFT I_TURN_LEFT I_QQIU
pvrq opposite right thrice after pvrq around left thrice	I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_LEFT I_PVRQ I_TURN_RIGHT I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_TURN_RIGHT I_PVRQ
byrr around left after byrr right thrice	I_TURN_RIGHT I_BYRR I_TURN_RIGHT I_BYRR I_TURN_RIGHT I_BYRR I_TURN_LEFT I_BYRR I_TURN_LEFT I_BYRR I_TURN_LEFT I_BYRR I_TURN_LEFT I_BYRR
nvnj left thrice and vgha right thrice	I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_RIGHT I_VGHA I_TURN_RIGHT I_VGHA I_TURN_RIGHT I_VGHA
ufnu around left thrice after ufnu left twice	I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU I_TURN_LEFT I_UFNU
asap left thrice after zbxv right thrice	I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP I_TURN_LEFT I_ASAP
turn right thrice and eguy right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_EGUY
jmbc right thrice and jpxb left twice	I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_JMBC I_TURN_RIGHT I_JMBC I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB
xrym opposite left thrice after turn opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_XRYM I_TURN_LEFT I_TURN_LEFT I_XRYM I_TURN_LEFT I_TURN_LEFT I_XRYM
turn right twice and turn opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
eegp opposite left and iugo left twice	I_TURN_LEFT I_TURN_LEFT I_EEGP I_TURN_LEFT I_IUGO I_TURN_LEFT I_IUGO
izcb around right thrice after yqvi around right	I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_IZCB
turn right thrice and odpa left	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_ODPA
uajp right twice after uajp thrice	I_UAJP I_UAJP I_UAJP I_TURN_RIGHT I_UAJP I_TURN_RIGHT I_UAJP
ohlm opposite left and ohlm around right twice	I_TURN_LEFT I_TURN_LEFT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM
macp thrice and fkes opposite left thrice	I_MACP I_MACP I_MACP I_TURN_LEFT I_TURN_LEFT I_FKES I_TURN_LEFT I_TURN_LEFT I_FKES I_TURN_LEFT I_TURN_LEFT I_FKES
turn around right and nvnj left thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ I_TURN_LEFT I_NVNJ
aowu opposite left after rqli around left twice	I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_RQLI I_TURN_LEFT I_TURN_LEFT I_AOWU
turn opposite left twice and qrwp opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_QRWP
wjdv around right thrice and tyuv left	I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_WJDV I_TURN_LEFT I_TYUV
zsvr right twice after zsvr opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_ZSVR I_TURN_LEFT I_TURN_LEFT I_ZSVR I_TURN_LEFT I_TURN_LEFT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR
reqk right and reqk left thrice	I_TURN_RIGHT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK
lwmo opposite right twice and lwmo around left twice	I_TURN_RIGHT I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_TURN_RIGHT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO
qrwp opposite right thrice after yqvi opposite right	I_TURN_RIGHT I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_TURN_RIGHT I_QRWP
turn opposite right and turn around left twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn opposite left after rjxc around right twice	I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_RJXC I_TURN_LEFT I_TURN_LEFT
zwjm opposite left twice and pvrq thrice	I_TURN_LEFT I_TURN_LEFT I_ZWJM I_TURN_LEFT I_TURN_LEFT I_ZWJM I_PVRQ I_PVRQ I_PVRQ
kvur right and kvur around left twice	I_TURN_RIGHT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR
dxpw after qlcv opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_TURN_RIGHT I_QLCV I_DXPW
zsvr right thrice after turn right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR I_TURN_RIGHT I_ZSVR
turn around right after knfs	I_KNFS I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
izcb opposite right after yqvi twice	I_YQVI I_YQVI I_TURN_RIGHT I_TURN_RIGHT I_IZCB
turn left twice after turn around left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
dpjs right twice and xlgm thrice	I_TURN_RIGHT I_DPJS I_TURN_RIGHT I_DPJS I_XLGM I_XLGM I_XLGM
turn opposite right and aowu opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_TURN_RIGHT I_AOWU I_TURN_RIGHT I_TURN_RIGHT I_AOWU
tftq twice after turn opposite left	I_TURN_LEFT I_TURN_LEFT I_TFTQ I_TFTQ
xrym after xrym around right thrice	I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_XRYM
garz around left twice and turn around left twice	I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_GARZ I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
iasi left twice after odpa opposite left twice	I_TURN_LEFT I_TURN_LEFT I_ODPA I_TURN_LEFT I_TURN_LEFT I_ODPA I_TURN_LEFT I_IASI I_TURN_LEFT I_IASI
mgai opposite left and turn opposite right twice	I_TURN_LEFT I_TURN_LEFT I_MGAI I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
gmha around left thrice after gmha around right	I_TURN_RIGHT I_GMHA I_TURN_RIGHT I_GMHA I_TURN_RIGHT I_GMHA I_TURN_RIGHT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA
zbxv right and zbxv right thrice	I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_ZBXV
wjdv around left thrice and turn left thrice	I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn left thrice and run opposite right	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_RUN
turn opposite left thrice and coaf left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF
icho thrice after ybgz left	I_TURN_LEFT I_YBGZ I_ICHO I_ICHO I_ICHO
mckn right thrice and turn left	I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN I_TURN_LEFT
mgai opposite left after mgai around right thrice	I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_RIGHT I_MGAI I_TURN_LEFT I_TURN_LEFT I_MGAI
